Статус,Соответствующий статус в воронке Теплые продажи,Оплатил,Был разговор,В работе,Актуальность статуса
Новая заявка (Теплые продажи),Новая заявка (Теплые продажи), - , - , +, +
Был разговор (Теплые продажи),Был разговор (Теплые продажи), - , +, +, +
Обработанная заявка (Теплые продажи),Обработанная заявка (Теплые продажи), - , - , +, +
Дубли сделок-более 2-х недель из Дубли', статус не учитывается, - ,,, -
дубли сделок-менее 2-х недель из Дубли',  статус не учитывается, - ,,, -
Отказ от обучения (Теплые продажи),Отказ от обучения (Теплые продажи), - , +, -, +
Обработано из Продажа без Zoom',Обработанная заявка (Теплые продажи), - ,,, - 
Новая заявка из Отдел продаж',Новая заявка (Теплые продажи), - ,,, - 
Обработанная заявка из Опенеры',Обработанная заявка (Теплые продажи), - ,,, - 
Был разговор из Опенеры',Был разговор (Теплые продажи), - ,,, - 
Мусор из Опенеры',Мусор (Теплые продажи), - ,,, - 
Внесена Предоплата (Теплые продажи),Внесена Предоплата (Теплые продажи), +, +, +, +
Оплачено обучение (Теплые продажи),Оплачено обучение (Теплые продажи), +, +, -, +
Сделан оффер (Теплые продажи),Сделан оффер (Теплые продажи), - , +, +, +
Выставлен счет (Теплые продажи),Выставлен счет (Теплые продажи), - , +, +, +
Новая заявка из Продажа без Zoom',Новая заявка (Теплые продажи), - ,,, - 
Проведён Zoom из Эксперт 4 вопроса',Был разговор (Теплые продажи), - ,,, - 
Забронирована Скидка из Эксперт 4 вопроса',Выставлен счет (Теплые продажи), - ,,, - 
ПРОВЕДЁН ZOOM из Эксперт Сразу',Был разговор (Теплые продажи), - ,,, - 
Отказался от обучения из Опенеры',Отказ от обучения (Теплые продажи), - ,,, - 
ВЫСТАВЛЕН СЧЁТ из Эксперт Сразу',Выставлен счет (Теплые продажи), - ,,, - 
Назначен zoom из Опенеры',Обработанная заявка (Теплые продажи), - ,,, - 
Мусор (Теплые продажи),Мусор (Теплые продажи), - , -, -, +
Внесена предоплата из Эксперт 4 вопроса',Внесена Предоплата (Теплые продажи), - ,,, - 
!!!Не переводить в этот этап!!! из Опенеры',Мусор (Теплые продажи), - ,,, - 
6 месяц из Коллектор',Отложенные (Теплые продажи), - ,,, - 
Распределение из Телефонные продажи 2',Новая заявка (Теплые продажи), - ,,, - 
Предупреждён за 1 час до zoom из Опенеры',Обработанная заявка (Теплые продажи), - ,,, - 
Выставлен счёт из Эксперт 4 вопроса',Выставлен счет (Теплые продажи), - ,,, - 
Был разговор из Телефонные продажи 1',Был разговор (Теплые продажи), - ,,, - 
1 месяц из Коллектор',Отложенные (Теплые продажи), - ,,, - 
10 месяц из Коллектор',Отложенные (Теплые продажи), - ,,, - 
11 месяц из Коллектор',Отложенные (Теплые продажи), - ,,, - 
Отложенные (Теплые продажи),Отложенные (Теплые продажи), - , +, +, +
Мусор из Теплые продажи',Мусор (Теплые продажи), - ,,, - 
Новая сделка из Опенеры',Новая заявка (Теплые продажи), - ,,, - 
Квалифицирован из Опенеры',Обработанная заявка (Теплые продажи), - ,,, - 
Предоплата из Продажа без Zoom',Внесена Предоплата (Теплые продажи), - ,,, - 
Переназначение из Опенеры',Обработанная заявка (Теплые продажи), - ,,, - 
Отменен из Опенеры',Обработанная заявка (Теплые продажи), - ,,, - 
Был разговор из Отдел продаж',Был разговор (Теплые продажи), - ,,, - 
Оформление из Продажа без Zoom',Выставлен счет (Теплые продажи), - ,,, - 
ВНЕСЕНА ПРЕДОПЛАТА из Эксперт Сразу',Внесена Предоплата (Теплые продажи), - ,,, - 
7 месяц из Коллектор',Отложенные (Теплые продажи), - ,,, - 
2 месяц из Коллектор',Отложенные (Теплые продажи), - ,,, - 
3 месяц из Коллектор',Отложенные (Теплые продажи), - ,,, - 
распределение из Телефонные продажи 1',Новая заявка (Теплые продажи), - ,,, - 
Новая сделка из Коллектор продажи',Отложенные (Теплые продажи), - ,,, - 
,,,,,
, ,,,,
